,model_name,fold,data_type,kernel,run,with_title,f1_IAS,f1_SUA,f1_VA,f1_weighted,f1_macro,f1_micro,recall_IAS,recall_SUA,recall_VA,recall_weighted,recall_macro,recall_micro,precision_IAS,precision_SUA,precision_VA,precision_weighted,precision_macro,precision_micro,accuracy
0,SVM,0,MultiLabel,linear,0,False,0.7756410256410257,0.6332574031890661,0.5383411580594679,0.6631468073626838,0.6490798622965198,0.6693147964250248,0.6836158192090396,0.5072992700729927,0.41646489104116224,0.5533661740558292,0.5357933267743982,0.5533661740558292,0.8962962962962963,0.8424242424242424,0.7610619469026548,0.8383219703024402,0.8332608285410644,0.8467336683417085,0.9137788778877888
0,SVM,1,MultiLabel,linear,0,False,0.7697297297297298,0.5605700712589073,0.5779816513761468,0.6575019375627439,0.636093817454928,0.663,0.6716981132075471,0.4306569343065693,0.45652173913043476,0.5443349753694581,0.5196255955481838,0.5443349753694581,0.9012658227848102,0.8027210884353742,0.7875,0.8404281316151412,0.8304956370733948,0.8478260869565217,0.9135038503850385
0,SVM,2,MultiLabel,linear,0,False,0.7834602829162133,0.5672371638141809,0.5281803542673108,0.6480489322638304,0.6262926003325684,0.6567470497691124,0.6792452830188679,0.4233576642335766,0.3961352657004831,0.5254515599343186,0.49957940431764253,0.5254515599343186,0.9254498714652957,0.8592592592592593,0.7922705314009661,0.8652918463987223,0.858993220708507,0.8755129958960328,0.9128162816281629
0,SVM,3,MultiLabel,linear,0,False,0.7733619763694952,0.5517241379310345,0.5709876543209876,0.6548971986833032,0.6320245895405058,0.6619647355163728,0.6779661016949152,0.41025641025641024,0.4468599033816425,0.5394088669950738,0.5116941384443227,0.5394088669950738,0.9,0.8421052631578947,0.7905982905982906,0.8498377907633807,0.8442345179187284,0.8565840938722294,0.9146039603960396
0,SVM,4,MultiLabel,linear,0,False,0.7710583153347732,0.5320197044334976,0.5823170731707317,0.6533272685105027,0.6284650309796674,0.6599597585513078,0.672316384180791,0.3956043956043956,0.4613526570048309,0.5385878489326765,0.5097578122633392,0.5385878489326765,0.9037974683544304,0.8120300751879699,0.7892561983471075,0.8442961677653702,0.8350279139631693,0.8519480519480519,0.9137788778877888
0,SVM,0,MultiLabel,rbf,0,False,0.741826381059752,0.5664160401002506,0.42142857142857143,0.5937256184976986,0.5765569975295247,0.6067172264355363,0.6195856873822976,0.4124087591240876,0.2857142857142857,0.45977011494252873,0.43923624407355694,0.45977011494252873,0.9241573033707865,0.904,0.8027210884353742,0.8784460899948252,0.8769594639353869,0.89171974522293,0.9045654565456546
0,SVM,1,MultiLabel,rbf,0,False,0.748040313549832,0.5228426395939086,0.46875,0.602448891157752,0.5798776510479136,0.6140633387010198,0.630188679245283,0.3759124087591241,0.32608695652173914,0.4696223316912972,0.4440626815087154,0.4696223316912972,0.9201101928374655,0.8583333333333333,0.8333333333333334,0.8767173526577915,0.8705922865013774,0.8868217054263566,0.9049779977997799
0,SVM,2,MultiLabel,rbf,0,False,0.7297921478060047,0.4880636604774536,0.4254545454545455,0.5719683605305309,0.5477701179126679,0.5856107083100948,0.5962264150943396,0.3357664233576642,0.2826086956521739,0.43103448275862066,0.4048671780347259,0.43103448275862066,0.9404761904761905,0.8932038834951457,0.8602941176470589,0.9025878569260536,0.8979913972061316,0.9130434782608695,0.9004400440044005
0,SVM,3,MultiLabel,rbf,0,False,0.7336343115124153,0.42857142857142855,0.4583333333333333,0.5716829387628017,0.5401796911390591,0.5859802847754655,0.6120527306967984,0.2857142857142857,0.3188405797101449,0.43924466338259444,0.40553586537374303,0.43924466338259444,0.9154929577464789,0.8571428571428571,0.8148148148148148,0.8681938373536235,0.8624835432347169,0.8799342105263158,0.900027502750275
0,SVM,4,MultiLabel,rbf,0,False,0.7553072625698324,0.43967828418230565,0.4548611111111111,0.5824407454896144,0.5499488859544164,0.5976138828633406,0.6365348399246704,0.30036630036630035,0.3164251207729469,0.4523809523809524,0.41777542035463927,0.4523809523809524,0.9285714285714286,0.82,0.808641975308642,0.863472254802304,0.8524044679600236,0.8801916932907349,0.9031903190319032
0,SVM,0,MultiLabel,poly,0,False,0.38023952095808383,0.15894039735099338,0.17987152034261242,0.26251542890345947,0.23968381288389654,0.2686151704940849,0.2391713747645951,0.08759124087591241,0.1016949152542373,0.15845648604269294,0.14281917696491495,0.15845648604269294,0.927007299270073,0.8571428571428571,0.7777777777777778,0.860689853031013,0.8539759780635693,0.8812785388127854,0.8582233223322332
0,SVM,1,MultiLabel,poly,0,False,0.4370477568740955,0.11447811447811448,0.18494623655913978,0.27879314979126263,0.2454907026371166,0.2904335856847901,0.2849056603773585,0.06204379562043796,0.10386473429951691,0.17323481116584566,0.15027139676577111,0.17323481116584566,0.937888198757764,0.7391304347826086,0.8431372549019608,0.8609698752064544,0.8400519628141111,0.8978723404255319,0.8601485148514851
0,SVM,2,MultiLabel,poly,0,False,0.36722306525037934,0.132890365448505,0.17787418655097614,0.2501478636680587,0.22599587241662014,0.2561576354679803,0.22830188679245284,0.072992700729927,0.09903381642512077,0.14942528735632185,0.13344280131583353,0.14942528735632185,0.937984496124031,0.7407407407407407,0.8723404255319149,0.8713002315918819,0.8503552207988956,0.896551724137931,0.8565731573157316
0,SVM,3,MultiLabel,poly,0,False,0.3917525773195876,0.09688581314878893,0.16521739130434782,0.24866210635986896,0.2179519272575748,0.25910364145658266,0.2504708097928437,0.05128205128205128,0.09178743961352658,0.15188834154351397,0.13118010022947385,0.15188834154351397,0.8986486486486487,0.875,0.8260869565217391,0.8686842630808148,0.8665785350567959,0.8809523809523809,0.8568481848184818
0,SVM,4,MultiLabel,poly,0,False,0.4094955489614243,0.1292517006802721,0.1575492341356674,0.26104534787881517,0.23209882792578793,0.27087719298245616,0.2598870056497175,0.0695970695970696,0.08695652173913043,0.15845648604269294,0.1388135323286392,0.15845648604269294,0.965034965034965,0.9047619047619048,0.8372093023255814,0.9080773543484049,0.9023353907074837,0.9323671497584541,0.8590484048404841
0,SVM,0,MultiLabel,sigmoid,0,False,0.7698924731182796,0.6284403669724771,0.5201938610662359,0.6534036357936129,0.6395089003856641,0.6609571788413098,0.6741996233521658,0.5,0.3898305084745763,0.5385878489326765,0.5213433772755807,0.5385878489326765,0.8972431077694235,0.845679012345679,0.7815533980582524,0.8464151830922317,0.8414918393911183,0.8552803129074316,0.9122662266226622
0,SVM,1,MultiLabel,sigmoid,0,False,0.7683982683982684,0.5584725536992841,0.5625,0.6511884745194467,0.6297902740325175,0.6575895108421583,0.6698113207547169,0.42700729927007297,0.43478260869565216,0.535303776683087,0.5105337429068141,0.535303776683087,0.9010152284263959,0.8068965517241379,0.7964601769911505,0.8443039733273727,0.8347906523805614,0.8522875816993464,0.9121287128712872
0,SVM,2,MultiLabel,sigmoid,0,False,0.7829880043620502,0.5714285714285714,0.5122349102773246,0.6433664398506793,0.6222171620226487,0.6528925619834711,0.6773584905660377,0.4233576642335766,0.37922705314009664,0.5188834154351396,0.4933144026465703,0.5188834154351396,0.9276485788113695,0.8787878787878788,0.7889447236180904,0.8695112817206848,0.8651270604057796,0.8802228412256268,0.9121287128712872
0,SVM,3,MultiLabel,sigmoid,0,False,0.7657266811279827,0.5346534653465347,0.553125,0.6416707830201666,0.6178350488248392,0.6490335707019329,0.664783427495292,0.3956043956043956,0.427536231884058,0.5238095238095238,0.49597468499458186,0.5238095238095238,0.9028132992327366,0.8244274809160306,0.7831858407079646,0.8445825141508677,0.8368088736189105,0.8529411764705882,0.911991199119912
0,SVM,4,MultiLabel,sigmoid,0,False,0.7687296416938111,0.51,0.5647425897035881,0.641403014677093,0.614490743799133,0.6493374108053007,0.6666666666666666,0.37362637362637363,0.43719806763285024,0.5229885057471264,0.49249703597529676,0.5229885057471264,0.9076923076923077,0.8031496062992126,0.7973568281938326,0.8467571303584129,0.8360662473951176,0.8561827956989247,0.9122662266226622
